15.65 -1
Lombardi et al, Nucl. Phys. A188, 103 (1972) from plot
27 X
35.9 68.98 -1.2
41.0 75.05 -0.8
46.1 46.27 -2.0
50.6 18.15 -1.2
51.2 19.98 -1.6
55.6 7.611 -2.8
60.7 6.059 -1.2
61.3 5.825 -1.7
66.4 5.212 -1.1
71.4 4.234 -1.2
76.5 2.386 -1.7
81.5 1.258 -1.8
86.5 0.822 -1.2
91.5 0.711 -1.1
96.5 0.617 -1.3
101.5 0.445 -1.9
106.5 0.270 -2.3
111.4 0.158 -2.6
114.4 0.116 -3.5
117.0 0.093 -2.2
119.4 0.095 -2.4
121.9 0.097 -2.3
124.4 0.104 -2.3
126.2 0.100 -2.0
131.2 0.115 -2.0
136.8 0.078 -2.8
141.5 0.049 -3.9
146.4 0.029 -4.5
151.2 0.023 -4.9
156.3 0.030 -4.3
161.2 0.034 -4.1
166.0 0.030 -5.1
170.8 0.016 -5.4
0 A
49 1 
Graig et al, Nucl Phys 86, 113 (1966)  from table "natural Ca"
0 X
20 A
20.6 -.196 .019
25.7 -.254 .026
30.7 .111 .011
35.8 .563 .047
40.9 .363 .032
46.0 .236 .020
51.0 .203 .022
56.2 .444 .039
61.2 .892 .077
66.3 .990 .086
71.3 .854 .072
76.4 .676 .056
81.4 .573 .054
86.4 .727 .060
91.4 .938 .080
96.4 .977 .084
101.4 .945 .083
111.3 1.00 .13
116.3 .753 .084
121.3 .572 .105
61.4 1
Fulmer et al, Phys. Rev 181, 1565 (1969) ___________from plot
35 X
29.7 46.1 -10.
31.8 56.5 -5.
32.8 60.3 -5.
33.8 60.6 -5.
35.8 56.5 -5.
37.9 40.4 -5.
42.0 29.1 -5.
44.0 20.4 -5.
46.0 12.5 -5.
48.1 7.84 -5.
50.1 5.62 -5.
52.1 4.66 -5.
54.2 4.50 -5.
56.2 3.90 -5.
57.2 3.91 -5.
60.3 3.21 -5.
63.3 2.88 -5.
64.3 2.31 -5.
67.3 1.60 -5.
69.3 1.25 -5.
71.4 .918 -5.
73.4 .701 -5.
75.4 .648 -5.
77.4 .535 -5.
81.4 .467 -5.
83.4 .442 -5.
85.4 .406 -5.
87.4 .323 -5.
89.4 .283 -5.
91.4 .199 -5.
93.4 .149 -5.
95.4 .124 -8.
99.4 .0686 -10.
103.4 .0364 -10.
107.4 .0415 -10.
0 A
65. 1
Noro Nuc Phys A366, 189 (1981) from DARPE
35 X
15.17 1.520E+03 3.114E+00
16.20 1.242E+03 2.815E+00
